"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"01 August 2020","Angus House","Angus House","1408858","10"
"02 August 2020","Angus House","Angus House","1827925","9"
"03 August 2020","Angus House","Angus House","462055","5"
"04 August 2020","Angus House","Angus House","409970","4"
"05 August 2020","Angus House","Angus House","1382436","10"
"06 August 2020","Angus House","Angus House","1109240","7"
"07 August 2020","Angus House","Angus House","1159290","6"
"08 August 2020","Angus House","Angus House","5449164","27"
"09 August 2020","Angus House","Angus House","2172940","15"
"10 August 2020","Angus House","Angus House","473440","4"
"11 August 2020","Angus House","Angus House","1613480","11"
"12 August 2020","Angus House","Angus House","2087800","14"
"13 August 2020","Angus House","Angus House","939290","6"
"14 August 2020","Angus House","Angus House","1491765","10"
"15 August 2020","Angus House","Angus House","2226125","12"
"16 August 2020","Angus House","Angus House","3125430","12"
"17 August 2020","Angus House","Angus House","1464870","10"
"18 August 2020","Angus House","Angus House","372790","4"
"19 August 2020","Angus House","Angus House","535480","4"
"20 August 2020","Angus House","Angus House","2551379","14"
"21 August 2020","Angus House","Angus House","1979890","14"
"22 August 2020","Angus House","Angus House","3247200","21"
"23 August 2020","Angus House","Angus House","1859770","10"
"24 August 2020","Angus House","Angus House","1125553","5"
"25 August 2020","Angus House","Angus House","2660350","12"
"26 August 2020","Angus House","Angus House","1735712","12"
"27 August 2020","Angus House","Angus House","1666577","7"
"28 August 2020","Angus House","Angus House","1710500","10"
"29 August 2020","Angus House","Angus House","4097115","24"
"30 August 2020","Angus House","Angus House","3023240","16"
"31 August 2020","Angus House","Angus House","392700","3"
