"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"test","test","052070100736","1051705050056","KS20190400095/034","2019-04-07 00:00:00","344000","24080","36808","404888","KARTU KREDIT MASTER"
"test","test","052070100736","1051705050056","KS20190400096/034","2019-04-07 00:00:00","162000","11340","17334","190674","OVO"
"test","test","052070100736","1051705050056","KS20190400097/034","2019-04-07 00:00:00","82000","5740","8774","96514","CASH"
"test","test","052070100736","1051705050056","KS20190400098/034","2019-04-07 00:00:00","336000","23520","35952","395472","CASH"
"test","test","052070100736","1051705050056","KS20190400099/034","2019-04-07 00:00:00","260000","18200","27820","306020","KARTU KREDIT MASTER"
"test","test","052070100736","1051705050056","KS20190400100/034","2019-04-07 00:00:00","212000","14840","22684","249524","CASH"
"test","test","052070100736","1051705050056","KS20190400101/034","2019-04-07 00:00:00","335000","23450","35845","394295","CASH"
"test","test","052070100736","1051705050056","KS20190400102/034","2019-04-07 00:00:00","278000","19460","29746","327206","CASH"
"test","test","052070100736","1051705050056","KS20190400103/034","2019-04-07 00:00:00","69000","4830","7383","81213","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400087/034","2019-04-07 00:00:00","143000","10010","15301","168311","CASH"
"test","test","052070100736","1051705050056","KS20190400104/034","2019-04-07 00:00:00","522000","36540","55854","614394","BCA CARD"
"test","test","052070100736","1051705050056","KS20190400088/034","2019-04-07 00:00:00","201500","0","20150","221650","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400105/034","2019-04-07 00:00:00","418000","24871","38017.1","480888.1","PERMATA BANK VISA CARD"
"test","test","052070100736","1051705050056","KS20190400089/034","2019-04-07 00:00:00","222000","15540","23754","261294","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400106/034","2019-04-07 00:00:00","311000","21770","33277","366047","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400090/034","2019-04-07 00:00:00","290000","20300","31030","341330","OVO"
"test","test","052070100736","1051705050056","KS20190400107/034","2019-04-07 00:00:00","218000","15260","23326","256586","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400091/034","2019-04-07 00:00:00","219000","15330","23433","257763","KARTU KREDIT MASTER"
"test","test","052070100736","1051705050056","KS20190400108/034","2019-04-07 00:00:00","221000","15470","23647","260117","BCA CARD"
"test","test","052070100736","1051705050056","KS20190400092/034","2019-04-07 00:00:00","104000","7280","11128","122408","BCA CARD"
"test","test","052070100736","1051705050056","KS20190400093/034","2019-04-07 00:00:00","160000","11200","17120","188320","OVO"
"test","test","052070100736","1051705050056","KS20190400094/034","2019-04-07 00:00:00","130000","9100","13910","153010","CASH"
"test","test","052070100736","1051705050056","KS20190400079/034","2019-04-06 00:00:00","165000","11550","17655","194205","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400080/034","2019-04-06 00:00:00","104000","7280","11128","122408","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400081/034","2019-04-06 00:00:00","30000","0","3000","33000","CASH"
"test","test","052070100736","1051705050056","KS20190400082/034","2019-04-06 00:00:00","181000","12670","19367","213037","VOUCHER + CASH"
"test","test","052070100736","1051705050056","KS20190400083/034","2019-04-06 00:00:00","577000","40390","61739","679129","CASH"
"test","test","052070100736","1051705050056","KS20190400084/034","2019-04-06 00:00:00","291000","20370","31137","342507","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400085/034","2019-04-06 00:00:00","181000","12670","19367","213037","KARTU KREDIT MASTER"
"test","test","052070100736","1051705050056","KS20190400086/034","2019-04-06 00:00:00","105000","7350","11235","123585","KARTU KREDIT VISA"
"test","test","052070100736","1051705050056","KS20190400071/034","2019-04-06 00:00:00","116500","0","11650","128150","OVO"
"test","test","052070100736","1051705050056","KS20190400072/034","2019-04-06 00:00:00","356000","24920","38092","419012","OVO"
"test","test","052070100736","1051705050056","KS20190400073/034","2019-04-06 00:00:00","200000","12600","19260","231860","ETERNITY DEBIT"
"test","test","052070100736","1051705050056","KS20190400074/034","2019-04-06 00:00:00","165000","11550","17655","194205","CASH"
"test","test","052070100736","1051705050056","KS20190400075/034","2019-04-06 00:00:00","285000","19950","30495","335445","OVO"
"test","test","052070100736","1051705050056","KS20190400076/034","2019-04-06 00:00:00","55000","3850","5885","64735","OVO"
"test","test","052070100736","1051705050056","KS20190400077/034","2019-04-06 00:00:00","273000","19110","29211","321321","CASH"
"test","test","052070100736","1051705050056","KS20190400078/034","2019-04-06 00:00:00","80000","5600","8560","94160","OVO"
